10994 rows; 0 cached; fetching 10994
  9900/10994  resolved so far 8407
  9950/10994  resolved so far 8406
  10000/10994  resolved so far 8405
  10050/10994  resolved so far 8405
  10100/10994  resolved so far 8405
  10150/10994  resolved so far 8403
  10200/10994  resolved so far 8400
  10250/10994  resolved so far 8393
  10300/10994  resolved so far 8388
  10350/10994  resolved so far 8384
  10400/10994  resolved so far 8368
  10450/10994  resolved so far 8359
  10500/10994  resolved so far 8353
  10550/10994  resolved so far 8341
  10600/10994  resolved so far 8334
  10650/10994  resolved so far 8332
  10700/10994  resolved so far 8320
  10750/10994  resolved so far 8310
  10800/10994  resolved so far 8305
  10850/10994  resolved so far 8302
  10900/10994  resolved so far 8295
  10950/10994  resolved so far 8291
  10994/10994  resolved so far 8280

wrote /Users/minggguangchen/Desktop/2026/manuscript/superconductivity/artifacts/sc_corpus_v1.csv: resolved 8280/10994; with venue 183
enrich exit 0
